date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:17	93702/93702	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:21%20GMT	https://www.tutorialcup.com/dbms/instance.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/instance.html	(from https://www.tutorialcup.com/dbms/)
00:32:17	94225/94225	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:22%20GMT	https://www.tutorialcup.com/dbms/database-languages.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/database-languages.html	(from https://www.tutorialcup.com/dbms/)
00:32:18	102971/102971	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:22%20GMT	https://www.tutorialcup.com/dbms/data-definition-language.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-definition-language.html	(from https://www.tutorialcup.com/dbms/)
00:32:18	187348/187348	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:21%20GMT	https://www.tutorialcup.com/dbms/materialized-views-dbms.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/materialized-views-dbms.html	(from https://www.tutorialcup.com/dbms/)
00:32:18	103033/103033	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:23%20GMT	https://www.tutorialcup.com/dbms/data-manipulation-language.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-manipulation-language.html	(from https://www.tutorialcup.com/dbms/)
00:32:19	95512/95512	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:23%20GMT	https://www.tutorialcup.com/dbms/data-control-language.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-control-language.html	(from https://www.tutorialcup.com/dbms/)
00:32:19	97811/97811	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:24%20GMT	https://www.tutorialcup.com/dbms/transaction-control-language.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/transaction-control-language.html	(from https://www.tutorialcup.com/dbms/)
00:32:20	102446/102446	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:24%20GMT	https://www.tutorialcup.com/dbms/interface.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/interface.html	(from https://www.tutorialcup.com/dbms/)
00:32:20	94956/94956	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:25%20GMT	https://www.tutorialcup.com/dbms/data-models.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-models.html	(from https://www.tutorialcup.com/dbms/)
00:32:20	100566/100566	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:25%20GMT	https://www.tutorialcup.com/dbms/object-based-data-models.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/object-based-data-models.html	(from https://www.tutorialcup.com/dbms/)
